"","CD_MUN","NM_MUN","AREA_KM2","GDP","GDPperCap","AnimProd","MilkProd","SUM_REST","PercRest","Crop_value_thousand_reais","Tree_extraction_value_thousand_reais","Cattle_heads","population_2021","Forest_2011","Other_natural_vegetation_2011","Farming_2011","Forest_perc_2011","Othernature_perc_2011","Nat_veg_total_perc_2011","Farming_perc_2011"
"1",2900108,"Abaíra",538.677,62646,7169,620,420,6855,1.10797,1438,206,2188,8681,32285.61607,9985.972031,11470.06924,0.599374122,0.185386991,0.784761113,0.212938872
"2",2900504,"Érico Cardoso",735.249,69609,6561,1492,1090,5648,0.668496,1591,289,2901,10513,45309.49608,17438.41617,10230.8681,0.616225767,0.237168857,0.853394624,0.139143559
"3",2900603,"Aiquara",167.877,45750,10290,3754,3571,1087,0.561859,1074,58,15514,4387,7340.419063,NA,9408.235095,0.437292718,0,0.437292718,0.560479267
"4",2900900,"Almadina",245.236,53045,9708,2856,2824,2446,0.863216,467,NA,13470,5273,12702.46678,NA,11781.74883,0.517967396,0,0.517967396,0.480423359
"5",2901007,"Amargosa",431.655,393230,10559,7464,7238,4010,0.809671,3492,152,33465,37631,7778.377949,NA,35038.40916,0.180204058,0,0.180204058,0.811745529
"6",2901205,"Anagé",1899.683,185460,8428,3850,3055,63425,2.89097,810,156,30065,21229,99573.00679,9.614684723,89390.44645,0.5241565,5.06121e-05,0.524207112,0.470555074
"7",2901304,"Andaraí",1590.316,110614,8416,4795,4059,13257,0.727372,10288,225,22461,13122,95452.96199,13206.59294,49427.37239,0.600200532,0.083041992,0.683242524,0.310795334
"8",2901700,"Antônio Cardoso",293.53,110322,9443,1037,733,2439,0.726007,2014,NA,15631,11670,1934.193424,NA,25810.7708,0.065894663,0,0.065894663,0.879328832
"9",2901957,"Apuarema",150.83,65189,8893,818,598,2861,1.64797,194,315,6062,7274,5645.334512,0.868825391,9400.785254,0.374296596,5.76048e-05,0.374354201,0.623290244
"10",2902005,"Aracatu",1489.803,116722,8886,4610,3988,49600,2.8856,19426,370,41118,12960,63599.19665,30.41870839,85157.84355,0.426897505,0.00020418,0.427101685,0.57160582
"11",2902252,"Arataca",435.962,89447,8118,479,409,4830,0.956366,16,NA,1816,10904,39573.90739,0.949277332,3988.021543,0.907640492,2.1772e-05,0.907662264,0.091466577
"12",2902302,"Aratuípe",174.012,68859,7803,334,185,5286,2.64684,6623,150,4308,8848,6121.037424,6.448044617,11124.43766,0.351738519,0.00037053,0.352109049,0.639253277
"13",2902401,"Aurelino Leal",445.394,109568,9502,2965,2910,3168,0.616519,541,NA,26330,11079,18124.1705,NA,26279.47457,0.406937883,0,0.406937883,0.590047073
"14",2902807,"Barra da Estiva",1657.413,263051,12771,2707,1716,37418,1.96265,17851,255,17651,20198,76447.69281,16081.61957,72056.77491,0.461244249,0.09702784,0.558272089,0.434751813
"15",2902906,"Barra do Choça",765.936,393203,12442,10804,10084,13797,1.55749,27868,NA,29564,30831,24306.95252,NA,51812.97586,0.317346983,0,0.317346983,0.676460432
"16",2903102,"Barra do Rocha",214.411,63172,11056,1288,1207,3192,1.29197,141,60,6839,5515,13977.16376,NA,7395.51593,0.651970295,0,0.651970295,0.344966746
"17",2903300,"Barro Preto",201.585,60936,10899,2429,2383,1099,0.471698,102,NA,7998,5312,16425.58588,NA,3697.124396,0.814862837,0,0.814862837,0.183411983
"18",2903508,"Belo Campo",772.756,146143,8491,2551,2247,21896,2.44901,4452,102,15681,17013,29250.23546,1.469754175,47330.24162,0.37852353,1.90199e-05,0.37854255,0.612494561
"19",2903706,"Boa Nova",849.538,97570,7723,1732,1283,24579,2.5077,3622,98,21204,12039,42868.54174,33.71666349,41750.41056,0.505009578,0.000397197,0.505406775,0.491837519
"20",2903805,"Boa Vista do Tupim",2972.109,127991,6890,3044,2834,22861,0.671052,2290,241,68046,18491,177550.8115,547.3269513,117095.8396,0.597389197,0.001841542,0.599230739,0.393981807
"21",2903953,"Bom Jesus da Serra",467.813,62360,6312,2040,1746,21774,4.03396,336,59,9046,9768,21717.87666,0.346667676,24969.82999,0.464181545,7.40941e-06,0.464188954,0.533686347
"22",2904001,"Boninal",896.857,97544,6789,2306,1687,6243,0.607268,6814,131,9782,14518,60943.81465,3338.737011,25232.30582,0.679502095,0.037225743,0.716727838,0.281331334
"23",2904308,"Brejões",518.566,122242,8551,1324,1252,4909,0.824887,1560,109,20603,14155,12512.25819,NA,38907.72408,0.241280275,0,0.241280275,0.750277545
"24",2904605,"Brumado",2207.612,1727280,25705,7652,6406,53036,2.08405,5724,609,64922,67468,92209.97343,658.9216413,125434.4299,0.417689273,0.002984758,0.420674031,0.568188167
"25",2904704,"Buerarema",219.487,209646,11425,2198,2138,2906,1.1444,669,NA,10446,18269,16396.53376,0.605017059,5459.845026,0.747100701,2.75673e-05,0.747128268,0.248775388
"26",2904803,"Caatiba",512.436,65884,9749,4792,4608,15275,2.57636,134,NA,46238,6232,22057.42239,NA,29149.00411,0.430453423,0,0.430453423,0.568846549
"27",2904852,"Cabaceiras do Paraguaçu",222.026,130050,6915,769,421,1284,0.504955,14855,29,6537,19010,915.7491018,0.785600671,18306.23398,0.041246018,3.5384e-05,0.041281403,0.824526351
"28",2905156,"Caetanos",767.146,89483,6153,2398,2021,22983,2.59723,266,84,13070,14671,31865.08191,24.27212435,44664.72548,0.415370147,0.000316394,0.415686541,0.582217038
"29",2905206,"Caetité",2651.536,905220,17758,8308,7154,25233,0.826307,4307,556,34588,51184,187948.335,659.2161756,75336.92905,0.708842657,0.002486218,0.711328875,0.284131429
"30",2905404,"Cairu",448.846,1059092,58269,38,20,2610,0.505805,NA,775,28,18666,28449.37688,4823.894454,3926.838515,0.636382008,0.107905338,0.744287346,0.08783916
"31",2905800,"Camamu",839.702,359394,10177,355,205,11888,1.22894,1238,465,3235,35444,57165.35933,374.4431755,17316.37303,0.68118171,0.00446186,0.68564357,0.206341685
"32",2906709,"Cândido Sales",1169.814,210363,8351,3547,3198,20608,1.52006,5913,128,16138,24921,66698.54954,NA,49820.83314,0.570159877,0,0.570159877,0.425883925
"33",2906899,"Caraíbas",805.629,76677,8566,1921,1332,37744,4.05577,681,87,14759,8659,33302.195,13.59534799,46601.98138,0.413341562,0.000168743,0.413510306,0.578416401
"34",2907301,"Castro Alves",713.789,294942,11230,813,721,7238,0.884771,6154,1,43280,26369,9721.734318,NA,61399.08068,0.136194782,0,0.136194782,0.860158707
"35",2908002,"Coaraci",274.5,173129,10188,3253,3149,2627,0.828406,391,NA,14731,16128,15250.85393,NA,12057.47094,0.555506987,0,0.555506987,0.439189136
"36",2908200,"Conceição da Feira",164.798,310788,13763,576,216,2303,1.22049,1920,23,7674,22933,1999.413891,NA,11815.82827,0.12133206,0,0.12133206,0.717029523
"37",2908309,"Conceição do Almeida",284.836,175027,10148,1299,1024,1555,0.476113,3079,1,25334,17087,1246.636859,NA,27153.80524,0.043765387,0,0.043765387,0.953282256
"38",2908705,"Condeúba",1348.039,157740,9146,4912,4318,22019,1.41221,1169,178,24066,17113,82888.88804,146.0160179,51401.48428,0.614874243,0.001083155,0.615957398,0.381298983
"39",2908804,"Contendas do Sincorá",977.455,42286,10400,966,915,19394,1.72365,3979,45,8759,4025,63465.0326,1209.758528,32743.85032,0.649297099,0.012376779,0.661673879,0.334995291
"40",2909000,"Cordeiros",523.64,61703,7163,1960,1522,5251,0.866563,422,29,10140,8667,28106.25298,353.9835718,23728.9329,0.53676208,0.006760238,0.543522318,0.453165756
