CD_MUN,NM_MUN,SIGLA,AREA_KM2,GDP,GDPperCap,AnimProd,MilkProd,Honey,SUM_REST,COUNT,PercRest
"2900108",Abaíra,BA,538.67700000000,"62646","7169","620","420","1","6855","618701",1.10797000000
"2900504",Érico Cardoso,BA,735.24900000000,"69609","6561","1492","1090","2","5648","844882",0.66849600000
"2900603",Aiquara,BA,167.87700000000,"45750","10290","3754","3571","5","1087","193465",0.56185900000
"2900900",Almadina,BA,245.23600000000,"53045","9708","2856","2824","3","2446","283359",0.86321600000
"2901007",Amargosa,BA,431.65500000000,"393230","10559","7464","7238","33","4010","495263",0.80967100000
"2901205",Anagé,BA,1899.68300000000,"185460","8428","3850","3055","182","63425","2193898",2.89097000000
"2901304",Andaraí,BA,1590.31600000000,"110614","8416","4795","4059","436","13257","1822590",0.72737200000
"2901700",Antônio Cardoso,BA,293.53000000000,"110322","9443","1037","733","35","2439","335947",0.72600700000
"2901957",Apuarema,BA,150.83000000000,"65189","8893","818","598","38","2861","173607",1.64797000000
"2902005",Aracatu,BA,1489.80300000000,"116722","8886","4610","3988","132","49600","1718880",2.88560000000
"2902252",Arataca,BA,435.96200000000,"89447","8118","479","409","7","4830","505037",0.95636600000
"2902302",Aratuípe,BA,174.01200000000,"68859","7803","334","185","1","5286","199710",2.64684000000
"2902401",Aurelino Leal,BA,445.39400000000,"109568","9502","2965","2910","0","3168","513853",0.61651900000
"2902807",Barra da Estiva,BA,1657.41300000000,"263051","12771","2707","1716","66","37418","1906500",1.96265000000
"2902906",Barra do Choça,BA,765.93600000000,"393203","12442","10804","10084","420","13797","885847",1.55749000000
"2903102",Barra do Rocha,BA,214.41100000000,"63172","11056","1288","1207","2","3192","247064",1.29197000000
"2903300",Barro Preto,BA,201.58500000000,"60936","10899","2429","2383","0","1099","232988",0.47169800000
"2903508",Belo Campo,BA,772.75600000000,"146143","8491","2551","2247","19","21896","894076",2.44901000000
"2903706",Boa Nova,BA,849.53800000000,"97570","7723","1732","1283","124","24579","980143",2.50770000000
"2903805",Boa Vista do Tupim,BA,2972.10900000000,"127991","6890","3044","2834","4","22861","3406740",0.67105200000
"2903953",Bom Jesus da Serra,BA,467.81300000000,"62360","6312","2040","1746","0","21774","539767",4.03396000000
"2904001",Boninal,BA,896.85700000000,"97544","6789","2306","1687","26","6243","1028047",0.60726800000
"2904308",Brejões,BA,518.56600000000,"122242","8551","1324","1252","9","4909","595112",0.82488700000
"2904605",Brumado,BA,2207.61200000000,"1727280","25705","7652","6406","36","53036","2544850",2.08405000000
"2904704",Buerarema,BA,219.48700000000,"209646","11425","2198","2138","4","2906","253933",1.14440000000
"2904803",Caatiba,BA,512.43600000000,"65884","9749","4792","4608","46","15275","592891",2.57636000000
"2904852",Cabaceiras do Paraguaçu,BA,222.02600000000,"130050","6915","769","421","5","1284","254280",0.50495500000
"2905156",Caetanos,BA,767.14600000000,"89483","6153","2398","2021","7","22983","884905",2.59723000000
"2905206",Caetité,BA,2651.53600000000,"905220","17758","8308","7154","2","25233","3053708",0.82630700000
"2905404",Cairu,BA,448.84600000000,"1059092","58269","38","20","0","2610","516009",0.50580500000
"2905800",Camamu,BA,839.70200000000,"359394","10177","355","205","20","11888","967334",1.22894000000
"2906709",Cândido Sales,BA,1169.81400000000,"210363","8351","3547","3198","90","20608","1355733",1.52006000000
"2906899",Caraíbas,BA,805.62900000000,"76677","8566","1921","1332","18","37744","930624",4.05577000000
"2907301",Castro Alves,BA,713.78900000000,"294942","11230","813","721","4","7238","818065",0.88477100000
"2908002",Coaraci,BA,274.50000000000,"173129","10188","3253","3149","38","2627","317115",0.82840600000
"2908200",Conceição da Feira,BA,164.79800000000,"310788","13763","576","216","1","2303","188695",1.22049000000
"2908309",Conceição do Almeida,BA,284.83600000000,"175027","10148","1299","1024","4","1555","326603",0.47611300000
"2908705",Condeúba,BA,1348.03900000000,"157740","9146","4912","4318","13","22019","1559184",1.41221000000
"2908804",Contendas do Sincorá,BA,977.45500000000,"42286","10400","966","915","7","19394","1125173",1.72365000000
"2909000",Cordeiros,BA,523.64000000000,"61703","7163","1960","1522","2","5251","605957",0.86656300000
"2909505",Cravolândia,BA,182.58500000000,"41141","7691","203","160","0","1734","209813",0.82645000000
"2909802",Cruz das Almas,BA,139.11700000000,"981147","15515","722","517","41","1309","159397",0.82122000000
"2910008",Dário Meira,BA,413.63700000000,"104508","9758","5357","5124","0","10749","477278",2.25215000000
"2910107",Dom Basílio,BA,689.51600000000,"118124","9683","3662","3378","0","14024","793766",1.76677000000
"2910206",Dom Macedo Costa,BA,94.77800000000,"36152","8909","422","322","0","879","108703",0.80862500000
"2910305",Elísio Medrado,BA,179.32900000000,"63239","7786","925","554","15","2054","205685",0.99861400000
"2910800",Feira de Santana,BA,1304.42500000000,"14898192","24230","19331","9908","126","22888","1491929",1.53412000000
"2910909",Firmino Alves,BA,172.35300000000,"51340","9140","13404","13345","0","1264","199363",0.63401900000
"2911006",Floresta Azul,BA,321.01300000000,"85448","8039","2978","2945","0","1094","371120",0.29478300000
"2911204",Gandu,BA,229.63100000000,"388942","12003","1732","1558","4","4155","264272",1.57224000000
"2911501",Gongogi,BA,202.19400000000,"62647","8789","1072","1042","1","1092","233199",0.46827000000
"2911600",Governador Mangabeira,BA,106.84800000000,"187798","9063","393","108","2","1482","122375",1.21103000000
"2911659",Guajeru,BA,872.86700000000,"56940","8208","2671","1886","80","33799","1007914",3.35336000000
